1
432	1200.0
4
n1	epal	7
n2	ebig	8
n3	epal	7
n4	epal	5
115
p95	n1
p43	n1
p18	n1
p8	n1
p84	n1
p102	n1
p45	n1
p70	n1
p86	n1
p56	n1
p109	n1
p48	n1
p12	n1
p23	n1
p19	n1
p16	n1
p37	n1
p78	n1
p28	n1
p49	n1
p91	n1
p50	n1
p104	n1
p99	n1
p75	n1
p11	n1
p52	n1
p98	n1
p83	n1
p63	n1
p90	n1
p39	n1
p96	n1
p58	n1
p44	n1
p60	n1
p26	n2
p85	n2
p97	n2
p87	n2
p69	n2
p9	n2
p25	n2
p79	n2
p32	n2
p82	n2
p76	n2
p93	n2
p30	n2
p2	n2
p14	n2
p94	n2
p7	n2
p29	n2
p89	n2
p41	n2
p27	n3
p73	n3
p5	n3
p15	n3
p71	n3
p106	n3
p110	n3
p59	n3
p81	n3
p103	n3
p6	n3
p17	n3
p4	n3
p36	n3
p47	n3
p112	n3
p22	n3
p74	n3
p53	n3
p21	n3
p20	n3
p108	n3
p80	n3
p38	n3
p65	n4
p31	n4
p13	n4
p64	n4
p105	n4
p33	n4
p3	n4
p100	n4
p92	n4
p46	n4
p107	n4
p1	n4
p77	n4
p34	n4
p10	n4
p111	n4
p68	n4
p24	n4
p55	n4
p115	n4
p57	n4
p40	n4
p42	n4
p62	n4
p101	n4
p67	n4
p88	n4
p35	n4
p54	n4
p72	n4
p51	n4
p114	n4
p113	n4
p66	n4
p61	n4
