X1 X2 X3 X4 X5 X6 X7 X8 X9 X10 X11 X12 X13 X14 X15 X16 X17 X18 X19 X20 X21 X22 X23 X24 X25 X26 X27 X28 X29 X30 X31 X32 X33 X34 X35 X36 X37 X38 X39 X40 X41 X42 X43 X44 X45 X46 X47 X48 X49 X50 X51 X52 X53 X54 X55 X56 X57 X58 X59 X60 X61 X62 X63 X64 X65 X66 X67 X68 X69 X70 X71 X72 X73 X74 X75 X76 X77 X78 X79 X80 X81 X82 X83 X84 X85 X86 X87 X88 X89 X90 X91 X92 X93 X94 X95 X96 X97 X98 X99 X100 Y
0.482 1.083 0.781 -0.405 0.872 0.362 0.522 0.528 0.325 0.264 0.068 0.14 0.38 -0.286 0.577 -0.229 -1.167 0.145 -0.22 2.543 1.746 -0.544 0.627 0.537 -0.047 1.816 -0.408 1.636 -0.861 -0.293 -1.104 1.072 0.965 1.409 0.34 1.376 -0.232 0.306 0.368 0.557 0.14 -1.048 -1.064 0.681 2.027 -1.426 1.026 0.798 -1.035 0.402 0.805 -2.188 -0.985 -1.036 0.709 0.036 -0.691 -0.36 -0.248 0.383 -0.567 0.804 1.725 -0.275 0.625 0.599 -0.767 -0.428 0.032 0.528 1.53 1.045 1.013 -0.429 -0.27 -2.544 -1.357 -1.226 0.422 0.955 0.68 -1.419 -0.509 -0.43 -0.0060 -0.411 1.908 0.0080 -0.02 -0.139 -0.916 -0.976 0.582 0.868 0.22 -0.502 0.422 -0.946 0.577 0.853 1
0.646 0.397 1.216 -1.121 -0.864 -0.712 -0.439 0.727 1.958 0.016 0.013 -0.953 0.987 0.893 1.234 -1.359 -1.82 -1.36 0.362 -0.189 0.175 0.399 0.146 0.212 0.182 1.018 0.643 -0.248 0.055 -0.071 0.191 0.201 -0.968 -0.574 -1.012 -1.232 0.079 -0.88 0.239 -0.665 -1.416 -2.163 -0.534 -2.347 1.157 -2.096 -1.434 -0.851 0.707 -0.479 -0.172 -1.158 0.082 -1.375 -0.233 -0.32 0.937 -0.586 -1.603 -1.876 -1.334 -1.049 -1.806 -0.374 -0.688 -0.375 -0.483 -0.229 0.193 0.383 0.515 0.453 -1.401 -0.134 -0.69 0.475 -1.02 -0.759 1.893 0.102 0.304 1.221 0.381 -0.511 -0.645 -0.592 -0.034 -0.526 0.054 -0.128 -0.591 -0.917 0.646 0.616 -0.157 -0.527 0.274 0.545 -0.735 -1.045 1
0.372 0.201 0.76 0.639 0.623 -1.128 -0.832 -0.385 -1.095 -0.044 0.247 1.027 0.77 -0.041 -1.169 -1.764 -0.814 0.689 -1.761 -1.33 -1.137 -0.501 1.149 0.689 -1.446 0.668 -0.788 -0.329 -0.487 -1.101 -0.823 -0.796 -1.377 1.055 0.314 0.023 0.417 0.594 0.868 0.826 1.037 -0.498 -1.416 0.199 -0.931 1.198 1.425 -0.393 2.181 0.505 0.999 -0.414 0.521 0.073 0.46 -0.044 2.727 -0.028 -0.67 -0.987 0.925 0.444 1.005 0.824 -1.178 0.932 0.113 -0.778 -0.117 0.592 0.459 0.512 -0.736 0.204 0.202 -0.057 1.307 0.323 0.286 -0.295 0.288 -0.234 -1.943 0.021 -1.069 -1.442 -0.484 -0.149 1.232 0.241 0.1 2.184 -1.184 1.092 -1.206 0.259 -0.591 1.118 0.362 -0.614 1
-0.799 0.312 0.922 -1.226 0.359 1.049 -1.0 -2.08 1.341 0.081 -0.336 0.5 -0.348 -0.029 0.549 0.96 0.999 -0.357 -0.465 0.489 1.003 -0.351 -0.999 0.648 -1.206 0.093 1.107 -0.794 1.133 1.174 -0.353 0.425 1.517 0.146 1.198 0.922 0.623 -0.999 1.273 1.601 -1.336 0.096 1.407 -0.33 -0.825 0.136 1.303 -0.544 0.185 -0.717 -0.96 -1.007 -0.951 -0.153 -0.303 -0.688 1.357 0.108 1.05 0.671 0.666 -0.315 -0.984 -0.13 1.574 -0.129 -0.962 0.335 -0.205 -1.601 -1.509 -1.125 0.786 0.452 -0.782 1.511 1.411 -1.014 -0.258 1.647 -1.333 -0.219 -0.686 -0.778 1.449 0.53 0.048 -0.425 0.418 0.363 0.028 -1.019 -1.438 -0.49 0.225 -1.328 1.532 -0.266 -1.034 1.072 -1
0.138 0.752 -0.684 -0.173 0.239 0.084 0.45 1.037 0.0050 -0.697 0.995 -0.725 -0.334 0.995 0.996 0.693 -0.519 -1.643 -0.589 0.737 0.551 0.334 2.251 0.495 -0.648 -0.347 -0.908 -1.193 0.751 -1.667 -0.047 2.352 -3.021 0.848 0.398 0.192 0.96 0.994 0.632 0.996 -0.029 0.415 1.87 -2.559 -1.206 0.307 1.962 1.116 -0.262 -0.407 1.023 0.618 -0.648 0.461 -0.77 1.206 -1.499 -1.203 0.374 -1.024 -0.363 -0.638 -0.58 -1.113 1.499 0.401 -0.226 1.012 -0.532 0.78 0.577 0.362 -0.495 0.196 0.752 -0.713 0.661 0.57 1.853 1.533 -0.54 0.0020 -0.556 -0.502 -0.712 2.045 0.675 -0.104 0.873 -0.1 -1.039 0.278 0.259 -0.0030 -1.222 0.073 0.788 0.841 -0.501 -1.402 -1
-1.829 -0.535 2.893 -1.62 -0.852 -1.369 0.154 -1.157 0.822 -0.087 -1.854 0.348 -0.617 1.503 0.561 0.288 1.321 -1.339 2.014 1.244 0.572 -1.14 1.585 -0.459 0.158 0.584 1.162 -0.341 -0.084 -0.604 -0.193 2.021 1.605 -0.691 1.619 -0.328 -0.686 -1.279 -0.917 0.029 -0.858 0.168 1.658 0.685 -0.133 -1.752 1.147 0.679 1.202 1.11 -1.509 -1.171 -0.43 -0.521 -0.432 0.502 1.03 0.046 0.064 -1.32 0.113 -1.025 1.073 1.272 -0.186 1.359 -0.146 0.808 1.732 -0.737 1.305 -0.177 1.028 -1.022 -0.353 0.544 -1.502 0.389 -1.89 0.819 -1.167 -0.419 -0.94 -1.578 0.302 -0.703 -1.045 0.106 0.812 -0.61 0.838 0.172 0.909 2.106 0.971 0.594 0.475 -0.897 -0.315 0.311 -1
-0.454 -0.192 -1.329 -0.064 -0.417 1.36 1.224 -0.425 -0.112 0.29 -1.548 -0.217 0.546 -0.345 -0.081 -0.157 -1.183 0.322 -1.767 -2.634 0.146 0.056 -0.912 -1.984 -0.166 0.903 -2.469 -0.552 -2.554 -1.038 1.432 -1.057 -0.224 0.367 0.783 1.636 -0.645 0.823 -0.997 0.774 -0.675 0.596 -0.672 0.624 -1.027 -1.119 0.483 1.112 -0.954 -1.771 0.916 1.443 0.542 -0.358 -0.706 0.833 -1.48 1.195 -1.066 1.25 1.476 -1.064 0.033 1.087 -1.27 -0.216 0.098 -0.679 -0.419 0.961 0.115 -0.734 1.519 -0.724 -0.53 -1.096 0.32 1.033 0.311 0.715 -0.501 0.923 0.178 -0.958 -0.538 -0.655 -0.022 -2.715 2.832 0.196 0.181 -1.568 -1.975 -1.412 0.532 0.371 0.362 -1.023 0.064 0.349 1
-1.685 0.814 2.23 -0.756 0.01 -0.218 0.586 -0.852 -0.241 0.2 2.783 -0.167 -3.352 -0.366 -1.248 1.665 -0.357 -0.043 0.01 0.944 -0.331 0.238 -1.263 -0.139 -0.774 -0.575 -0.206 2.38 0.061 -0.678 1.43 -0.311 1.454 -0.633 0.508 -0.403 -1.102 1.435 -0.527 -0.125 -0.459 0.74 0.83 3.133 2.239 -1.643 1.398 -0.808 -0.731 0.096 0.305 0.0060 0.214 -1.708 0.894 -1.004 1.733 -0.357 0.27 -1.235 -1.35 -0.777 0.572 0.114 -0.657 0.567 -0.52 -0.475 -1.56 -0.537 0.656 -0.346 -1.545 -1.039 -1.012 0.492 1.125 0.113 -0.12 -0.02 0.963 0.054 1.367 -0.707 -0.836 -0.097 1.87 -1.96 0.036 -0.044 0.328 1.272 1.04 -0.703 -1.284 2.694 -0.519 0.491 -0.038 0.183 -1
-0.678 -2.359 1.013 -1.518 0.775 -0.844 1.11 0.485 -0.506 0.779 -0.373 1.528 0.484 0.238 1.207 -0.877 0.358 0.207 -0.608 -0.356 0.164 0.438 -0.167 -0.71 0.281 0.347 -0.218 -1.068 0.442 0.763 -0.84 1.99 -0.23 0.291 -0.651 1.155 -0.611 -0.967 -0.604 0.893 -0.081 1.059 2.396 0.63 -0.73 -0.965 -0.644 -0.294 0.498 -0.672 -0.364 0.2 -0.726 -0.17 -0.757 -0.083 -0.185 3.091 0.162 -2.002 0.179 1.312 1.9 -0.641 0.341 -0.736 0.63 1.237 -0.305 -0.28 0.567 -0.609 -0.522 0.483 1.467 0.062 -0.631 -0.367 -0.174 -1.273 0.251 -0.886 -0.053 1.401 0.315 0.163 1.258 1.835 -1.214 -0.682 0.814 0.117 -0.972 -1.234 0.278 0.259 -0.301 1.125 -0.16 0.579 1
-1.217 -0.894 -0.528 -0.598 -1.047 -0.868 -0.964 -0.035 -0.092 0.11 1.134 0.119 0.098 1.282 0.107 1.015 2.506 -0.205 -0.727 0.309 1.038 -0.627 0.282 -0.425 -1.979 -0.306 0.173 -0.745 0.268 0.707 -0.096 0.969 -0.489 0.958 0.055 0.023 -0.273 0.074 -0.637 0.777 -0.967 -0.747 -0.89 -0.461 0.704 -0.837 0.581 1.585 -0.303 -0.265 0.701 0.723 0.994 -0.043 -0.452 -0.617 1.664 -1.469 -0.543 -0.953 -0.564 1.669 -0.746 1.164 0.856 -0.322 -0.093 0.49 -1.592 -1.464 0.663 -0.687 -0.954 1.227 0.652 -0.486 -0.49 -1.4 -1.15 0.353 1.033 0.579 -0.755 0.301 -0.826 0.967 0.112 1.548 1.54 -0.873 -0.77 0.565 0.83 -0.037 -0.121 0.185 0.606 -0.598 0.256 -1.961 -1
